"Id","Chara","Serif","Place","Chapter","Para","Effect","Left","Center","Right","BGM","SE","Release","","","","","","","","","","","","","","","","",""
"10","","大学４年の３月。
残りの大学生活は残り一ヶ月となった。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","就活先は決まっていない。
自分が将来何をやりたいのかも分からない。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","","大学に行けば、何か見つかると思っていた。
一生懸命勉強して入学した大学だけど、実際にはとても退屈で、思っていたものとは違った。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","","もっと楽しい授業があると思っていた……
でも、現実は単位を取るためだけの授業ばかりで、その授業たちが将来何に役に立つのかが分からない。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","","友達はいるけど、授業はとてもつまらないし、これが将来役に立つのかも分からない。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","","結局、何もしないまま、ただ時だけが過ぎ去ってしまった。
流石にこのままではやばいから動かなければ……","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","","そう思って、一人旅をすることにした。
なんとなく、旅に出れば、何かやりたいことが見つかるかもしれない。
そう思った。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","","都会の宿に来た。
チェックインして、荷物を置く。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","","宿には、オープンスペースという、他の宿泊客と交流できるスペースがあった。
キッチンもあり、コーヒーと紅茶が無料で飲み放題だ。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","","行ってみると、すでにオープンスペースに数人いた。
キッチンでコーヒーを注ぎ、オープンスペースへ行く。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110","","人と交流するのはちょっと勇気がいる……
少し人を避け、端っこに一人でいた。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120","","入れ立てのコーヒーを飲む。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","99@自分","んー……美味しい。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","","思わず声が出る。
暖かいコーヒーは、僕に何かやる気を湧かせてくれる。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150","","さて、これからどうしよう。
何をすればやりたいことが見つかるのか。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"160","","今まで見つからなかったから、そう簡単には見つからないだろう。
でも、今まで見つからなかったのは、自分が何もしなかったからであって、今はちゃんと行動に移して動いている。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170","","絶対見つける。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
