"Id","Chara","Serif","Place","Chapter","Para","Effect","Left","Center","Right","BGM","SE","Release","","","","","","","","","","","","","","","","",""
"10","","1.登場(16:40)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","<<カランカラン>>","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","99@自分","いっ、いらっしゃいませ！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","","（新しいお客さんだ！つい緊張して声が裏返ってしまった……恥ずかしい。）","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","2@りえこ","こんばんは。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","99@自分","初めてですか？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","2@りえこ","はい。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","99@自分","ありがとうございます。ここは旅人物語と言って、名前の通り、旅人が集まるバーです。といっても、僕は旅人ではないので、旅のお話しを聞く専門なのですが……。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","2@りえこ","実は、名前に惹かれて来ちゃったんですよ。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","99@自分","あ、旅人さんでしたか！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110","2@りえこ","はい、昔は。今まで９８カ国旅したことあって、世界一周とかもしてました。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120","99@自分","えええええ！？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","","（世界一周した人なんて初めて出会った……。僕は思わず大声をあげてしまった。本当にすごいな、このバーは。）","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","2@りえこ","いいリアクションありがとうございます。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150","3@べる","どしたどした〜？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"160","","僕の大声に釣られて、キッチンにいたべるちゃんが顔を出す。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170","3@べる","ええええええええ！？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"180","","なぜかべるちゃんがものすごい驚いている。知り合いだろうか？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"190","3@べる","やばいやばいやばいやばいやばい！！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200","99@自分","ど、どうしたんですか！？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"210","3@べる","り、りえこさんですよね！？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"220","2@りえこ","え、私のこと知ってくれてるんですか？ありがとうございます！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"230","3@べる","もちろんですよ！ずっとずっと大好きです！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240","2@りえこ","え、そんなに！？嬉しいです！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"250","99@自分","え、え、話についていけないのですが……。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"260","3@べる","私、彼女のこと大好きなの！！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"270","99@自分","有名人ですか？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"280","3@べる","うんうんうんうん。芸能人であり、作家でもある。昔、りえこさんの世界一周旅行記を読んでからずーっと大好きなの！すごくアクティブで、同性の私でもうっとりしちゃうほどの美人で、世界一周もしちゃうすっごくかっこいい人なの！
書籍は結構前に読んだから、内容は忘れちゃったけど、めちゃくちゃ面白くて、自分もりえこさんみたいな旅がしたいなって強く思った記憶がある。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"290","99@自分","そうなんですね。店名に惹かれてやってきてくれたそうですよ。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"300","3@べる","まじか。このバーやってて良かった。私、べるって言います！大好きです！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"310","2@りえこ","歩りえこです。ありがとうございます！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"320","99@自分","僕はXです。よろしくお願いします！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"330","2@りえこ","よろしくお願いします！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"340","3@べる","すみません、あまりにも興奮してしまってご注文取るの遅くなってしまいました。
お飲み物はいかがなさいますか！？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"350","2@りえこ","じゃあ……カシオレでお願いします。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"360","3@べる","承知しました！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"370","","にこにこで注文を取ると、べるちゃんが僕に耳打ちをしてくる。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"380","","べ「ちょっと……りえこさんのドリンクは私が作るね！大好きだから！」「は、はい。」","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"390","","（べるちゃんの目がいつもに増してキラキラしてて、すごく嬉しそうだ。）","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"400","99@自分","世界一周って僕にとったら、もうありえないくらいすごいんですけど、なんでしようと思ったんですか？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"410","2@りえこ","人生、後悔だけはしたくない。後悔しない人生を本気で生きてみたいって思ったんです。どんな過酷な試練が待ち受けてても、絶景を見たいし、世界中の人たちの笑顔を見たい。そんな強い想いが、旅に出る理由ですかね。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"420","99@自分","すごい……本当に悔いのない人生を歩んでる感じですね。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"430","2@りえこ","高校入学して間もない時、お医者さんに、将来ペースメーカーを使用することになるかもしれませんって言われたんですよ。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"440","99@自分","えっ、心臓悪いんですか！？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"450","2@りえこ","うん、心室にうまく刺激が伝わらなくて、心拍に異常が見られるとのことで。
今のところ特に問題はなくて、日常生活にも支障ないんですけどね。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"460","3@べる","良かった！でも心配ですね……。あと、こちらカシオレになります。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"470","2@りえこ","ありがとうございます！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
